crate,name,version,repository,host,extern_c,extern_c_unwind,extern_cpp,matched_files,status
objc2-automator-0.3.2,objc2-automator,0.3.2,https://github.com/madsmtm/objc2,github,1,0,0,1,"extern ""C"""
objc2-av-foundation-0.3.2,objc2-av-foundation,0.3.2,https://github.com/madsmtm/objc2,github,1068,20,0,48,"extern ""C"" + extern ""C-unwind"""
objc2-av-kit-0.3.2,objc2-av-kit,0.3.2,https://github.com/madsmtm/objc2,github,1,0,0,1,"extern ""C"""
objc2-av-routing-0.3.2,objc2-av-routing,0.3.2,https://github.com/madsmtm/objc2,github,2,0,0,2,"extern ""C"""
objc2-avf-audio-0.3.2,objc2-avf-audio,0.3.2,https://github.com/madsmtm/objc2,github,146,0,0,10,"extern ""C"""
objc2-background-assets-0.3.2,objc2-background-assets,0.3.2,https://github.com/madsmtm/objc2,github,7,0,0,4,"extern ""C"""
objc2-background-tasks-0.3.2,objc2-background-tasks,0.3.2,https://github.com/madsmtm/objc2,github,2,0,0,2,"extern ""C"""
objc2-browser-engine-core-0.3.2,objc2-browser-engine-core,0.3.2,https://github.com/madsmtm/objc2,github,7,2,0,4,"extern ""C"" + extern ""C-unwind"""
objc2-browser-engine-kit-0.3.2,objc2-browser-engine-kit,0.3.2,https://github.com/madsmtm/objc2,github,8,0,0,2,"extern ""C"""
objc2-business-chat-0.3.2,objc2-business-chat,0.3.2,https://github.com/madsmtm/objc2,github,4,0,0,2,"extern ""C"""
objc2-call-kit-0.3.2,objc2-call-kit,0.3.2,https://github.com/madsmtm/objc2,github,6,0,0,2,"extern ""C"""
objc2-car-play-0.3.2,objc2-car-play,0.3.2,https://github.com/madsmtm/objc2,github,12,0,0,11,"extern ""C"""
objc2-carbon-0.3.2,objc2-carbon,0.3.2,https://github.com/madsmtm/objc2,github,1,0,0,1,"extern ""C"""
objc2-cf-network-0.3.2,objc2-cf-network,0.3.2,https://github.com/madsmtm/objc2,github,133,248,0,11,"extern ""C"" + extern ""C-unwind"""
objc2-cinematic-0.3.2,objc2-cinematic,0.3.2,https://github.com/madsmtm/objc2,github,3,0,0,3,"extern ""C"""
objc2-class-kit-0.3.2,objc2-class-kit,0.3.2,https://github.com/madsmtm/objc2,github,19,0,0,3,"extern ""C"""
objc2-clock-kit-0.3.2,objc2-clock-kit,0.3.2,https://github.com/madsmtm/objc2,github,7,2,0,4,"extern ""C"" + extern ""C-unwind"""
objc2-cloud-kit-0.3.2,objc2-cloud-kit,0.3.2,https://github.com/madsmtm/objc2,github,26,0,0,7,"extern ""C"""
objc2-collaboration-0.3.2,objc2-collaboration,0.3.2,https://github.com/madsmtm/objc2,github,1,0,0,1,"extern ""C"""
objc2-color-sync-0.3.2,objc2-color-sync,0.3.2,https://github.com/madsmtm/objc2,github,150,125,0,5,"extern ""C"" + extern ""C-unwind"""
objc2-compositor-services-0.3.2,objc2-compositor-services,0.3.2,https://github.com/madsmtm/objc2,github,2,169,0,14,"extern ""C"" + extern ""C-unwind"""
objc2-contacts-0.3.2,objc2-contacts,0.3.2,https://github.com/madsmtm/objc2,github,310,0,0,14,"extern ""C"""
objc2-contacts-ui-0.3.2,objc2-contacts-ui,0.3.2,https://github.com/madsmtm/objc2,github,1,0,0,1,"extern ""C"""
objc2-core-audio-0.3.2,objc2-core-audio,0.3.2,https://github.com/madsmtm/objc2,github,1,60,0,4,"extern ""C"" + extern ""C-unwind"""
objc2-core-audio-kit-0.3.2,objc2-core-audio-kit,0.3.2,https://github.com/madsmtm/objc2,github,1,0,0,1,"extern ""C"""
objc2-core-bluetooth-0.3.2,objc2-core-bluetooth,0.3.2,https://github.com/madsmtm/objc2,github,41,0,0,6,"extern ""C"""
objc2-core-data-0.3.2,objc2-core-data,0.3.2,https://github.com/madsmtm/objc2,github,93,0,0,8,"extern ""C"""
objc2-core-foundation-0.3.2,objc2-core-foundation,0.3.2,https://github.com/madsmtm/objc2,github,380,2258,0,44,"extern ""C"" + extern ""C-unwind"""
objc2-core-graphics-0.3.2,objc2-core-graphics,0.3.2,https://github.com/madsmtm/objc2,github,131,1698,0,49,"extern ""C"" + extern ""C-unwind"""
objc2-core-haptics-0.3.2,objc2-core-haptics,0.3.2,https://github.com/madsmtm/objc2,github,44,0,0,5,"extern ""C"""
objc2-core-image-0.3.2,objc2-core-image,0.3.2,https://github.com/madsmtm/objc2,github,270,0,0,11,"extern ""C"""
objc2-core-location-0.3.2,objc2-core-location,0.3.2,https://github.com/madsmtm/objc2,github,16,5,0,6,"extern ""C"" + extern ""C-unwind"""
objc2-core-location-ui-0.3.2,objc2-core-location-ui,0.3.2,https://github.com/madsmtm/objc2,github,3,0,0,1,"extern ""C"""
objc2-core-media-0.3.2,objc2-core-media,0.3.2,https://github.com/madsmtm/objc2,github,373,739,0,20,"extern ""C"" + extern ""C-unwind"""
objc2-core-media-io-0.3.2,objc2-core-media-io,0.3.2,https://github.com/madsmtm/objc2,github,51,43,0,7,"extern ""C"" + extern ""C-unwind"""
objc2-core-midi-0.3.2,objc2-core-midi,0.3.2,https://github.com/madsmtm/objc2,github,68,142,0,10,"extern ""C"" + extern ""C-unwind"""
objc2-core-ml-0.3.2,objc2-core-ml,0.3.2,https://github.com/madsmtm/objc2,github,10,2,0,6,"extern ""C"" + extern ""C-unwind"""
objc2-core-motion-0.3.2,objc2-core-motion,0.3.2,https://github.com/madsmtm/objc2,github,2,0,0,2,"extern ""C"""
objc2-core-nfc-0.3.2,objc2-core-nfc,0.3.2,https://github.com/madsmtm/objc2,github,4,0,0,1,"extern ""C"""
objc2-core-services-0.3.2,objc2-core-services,0.3.2,https://github.com/madsmtm/objc2,github,426,861,0,33,"extern ""C"" + extern ""C-unwind"""
objc2-core-spotlight-0.3.2,objc2-core-spotlight,0.3.2,https://github.com/madsmtm/objc2,github,17,0,0,6,"extern ""C"""
